,loss
0,125842.60909277094
1,122079.2379590593
2,120760.36693524217
3,119944.73556635629
4,119445.31490269341
5,119126.43464524057
6,118934.28595048754
7,118791.18350633392
8,118625.39835757672
9,118475.41402503596
10,118375.97681226023
11,118261.19131383872
12,118158.45049002957
13,118046.55233975383
14,117953.62932584719
15,117898.14592491208
16,117831.37377867248
17,117770.22939478101
18,117714.49462765745
19,117646.63189088475
20,117620.61336616847
21,117600.2908058264
22,117568.83856997282
23,117539.84028083041
24,117520.36061630835
25,117503.03288343191
26,117489.98519671116
27,117465.19547234655
28,117451.65552819293
29,117434.97658747602
30,117426.99102611493
31,117410.96611752718
32,117395.62861153293
33,117390.97235903532
34,117383.08664931665
35,117362.88337695813
36,117367.76637178309
37,117348.6250999041
38,117343.80345118686
39,117329.31599914083
40,117325.22011369086
41,117316.84695692135
42,117318.38485803628
43,117302.06109884511
44,117303.03397987931
45,117301.87989779812
46,117285.7999120844
47,117278.4942480219
48,117274.82341202446
49,117262.80832650655
50,117245.88506533728
51,117232.42234954443
52,117225.36105838395
53,117213.19415611014
54,117198.51721347506
55,117185.31659856538
56,117177.12027703405
57,117178.67727481617
58,117163.10532888427
59,117142.31937839674
60,117150.39848994964
61,117139.95764566016
62,117133.30975013986
63,117124.63080942296
64,117126.57365179427
65,117122.0072780131
66,117104.95574498482
67,117112.13799252718
68,117094.6470188619
69,117090.88648647298
70,117090.00809223145
71,117100.58039781809
72,117078.13729319852
73,117074.35244914882
74,117079.00373141783
75,117069.01124670317
76,117062.84124240729
77,117065.86127317775
78,117053.48924532448
79,117044.99613870685
80,117036.96002837276
81,117030.4595163643
82,117032.07460338075
83,117025.21267583121
84,117016.5695557265
85,117021.5912499001
86,117026.3697949968
87,117011.69170845988
88,117007.74104859335
89,117003.53827076007
90,116999.73291140505
91,116996.32683124201
92,117002.56517742967
93,116991.1409471907
94,116988.81732037244
95,116991.90303558584
96,116989.1127342751
97,116985.20678898257
98,116985.7596607257
99,116989.88642403293
