,loss
0,18336.255575151587
1,16759.215394497933
2,16139.103579132796
3,15904.457883920242
4,15784.578266591152
5,15712.304288233776
6,15662.723393356877
7,15621.130751619969
8,15591.582406050107
9,15563.465796887493
10,15544.465047807837
11,15524.624203549773
12,15510.46456264992
13,15497.083589793776
14,15484.398124125466
15,15471.588485099614
16,15462.245067214153
17,15455.287570587354
18,15444.378385694296
19,15437.866646122067
20,15431.25507802089
21,15423.870857938266
22,15419.594727603611
23,15413.933043522622
24,15409.286804849913
25,15404.159476404251
26,15402.000220715618
27,15396.034318675873
28,15391.395878968717
29,15388.323909019357
30,15385.718407994902
31,15380.959200926172
32,15379.722417835488
33,15375.210890649987
34,15372.446973072694
35,15370.14120177572
36,15366.225945120936
37,15362.117914195762
38,15363.586666277984
39,15360.150525448928
40,15354.036082839153
41,15353.149635819229
42,15351.142470890525
43,15349.766069554571
44,15343.434006550673
45,15343.936360503565
46,15342.566574910048
47,15340.423775028317
48,15338.914167131696
49,15335.747672074893
50,15331.757259669843
51,15333.295445033482
52,15328.45881467384
53,15330.950019364673
54,15327.23390858209
55,15326.564166819364
56,15324.522326113572
57,15325.34131952542
58,15321.502140525054
59,15320.546790669976
60,15318.73861336454
61,15317.29122280617
62,15315.72342563133
63,15313.555362140192
64,15310.741667985409
65,15313.854468241938
66,15311.39330377965
67,15306.790402410381
68,15309.609572290612
69,15307.194076180203
70,15308.91997393057
71,15304.546204524253
72,15306.752027043909
73,15304.355093429338
74,15302.687067938767
75,15305.91844245569
76,15300.35492476929
77,15300.018862856477
78,15298.947304666677
79,15297.529677401219
80,15298.602579665845
81,15293.562486465551
82,15297.186898758162
83,15292.887071686768
84,15292.543217575627
85,15290.312515616672
86,15292.461677209654
87,15292.56479356843
88,15291.03165707456
89,15293.85745206723
90,15289.565965859874
91,15287.471684893057
92,15287.758515770756
93,15286.59707947428
94,15287.57781735158
95,15287.608307860808
96,15285.788227008095
97,15287.138173182637
98,15284.203530512894
99,15283.093396542678
