,loss
0,10517.900895564033
1,8255.56360982476
2,7561.602596323627
3,7254.00697284365
4,7097.089296125399
5,7001.250659023521
6,6941.196188855527
7,6899.306185138759
8,6869.483747730377
9,6843.184841522022
10,6824.016315777419
11,6806.6650744602875
12,6793.74440714952
13,6782.370271792544
14,6770.048326569579
15,6762.231488258346
16,6751.712622018257
17,6743.12655932461
18,6734.284284319197
19,6728.374704844916
20,6720.626940111108
21,6718.23340936917
22,6708.221441793544
23,6701.572529026186
24,6698.62794790695
25,6692.064555674474
26,6688.0395440140255
27,6683.990291115571
28,6679.680695035564
29,6674.642445643573
30,6673.4271091876
31,6668.666748567431
32,6664.810427928021
33,6660.137190373467
34,6656.964167548141
35,6653.343466036864
36,6650.70503335721
37,6649.589800543877
38,6646.7784296291975
39,6644.965629268557
40,6639.022222002432
41,6638.514428242437
42,6634.123245727279
43,6632.415837855227
44,6629.5379781824695
45,6628.1634799981675
46,6624.811296735491
47,6624.197960566864
48,6621.232781578991
49,6620.040564823761
50,6619.939661607559
51,6615.919732653002
52,6612.849807706723
53,6611.1847496439395
54,6607.456075509728
55,6608.1939824801775
56,6606.5245504480945
57,6606.2006630318
58,6603.911667943763
59,6600.667679581306
60,6600.17642465685
61,6596.649383870269
62,6595.519039845416
63,6593.673148279251
64,6592.898606420325
65,6592.153504849497
66,6589.253453887093
67,6588.911694752382
68,6587.165276696179
69,6585.147201440482
70,6583.941372153601
71,6579.614312991404
72,6581.31064994503
73,6579.5662292610605
74,6578.785513351213
75,6580.237170384128
76,6579.087028584755
77,6575.8550460587685
78,6573.36062901869
79,6573.093874152535
80,6573.351273071029
81,6571.764837659498
82,6571.554375166578
83,6569.803084969267
84,6565.272409142208
85,6567.337821391091
86,6563.671412225979
87,6564.845339516841
88,6564.993935265775
89,6564.639709863073
90,6562.731858894006
91,6559.997959942198
92,6560.926416588236
93,6558.203040409699
94,6558.361654773704
95,6554.908303071695
96,6555.997961503865
97,6557.1215911409745
98,6553.201647142358
99,6553.287098183052
